City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
506,puri,19.8,85.85,28.29,86,24,5.6,IN,1680715795
507,clyde river,70.4692,-68.5914,-20.87,71,0,2.06,CA,1680715801
508,la palma,33.8464,-118.0467,18.47,47,20,1.54,US,1680715924
509,sabha,27.0377,14.4283,27.62,11,45,4.78,LY,1680716072
510,fort-shevchenko,44.5086,50.263,10.47,67,36,2.06,KZ,1680716032
511,abu samrah,35.3029,37.1841,12.5,77,0,6.61,SY,1680716073
512,palu,-0.8917,119.8707,23.96,94,99,1.22,ID,1680715940
513,presidencia roque saenz pena,-26.7852,-60.4388,21.01,86,100,2.28,AR,1680716074
514,coahuayana,18.7333,-103.6833,31.81,44,64,3.11,MX,1680716074
515,sioux lookout,50.1001,-91.917,-7.96,86,100,3.6,CA,1680715835
516,santa vitoria do palmar,-33.5189,-53.3681,22.28,53,16,6.17,BR,1680715954
517,cape canaveral,28.4058,-80.6048,31.04,71,40,6.17,US,1680716037
518,san policarpo,12.1791,125.5072,23.85,77,94,2.72,PH,1680715813
519,sal rei,16.1833,-22.9167,25.11,65,75,9.77,CV,1680716077
520,hay river,60.8156,-115.7999,-1.01,51,20,7.2,CA,1680715868
521,kamenka,51.3223,42.7678,11.26,63,100,2.99,RU,1680716078
522,itoman,26.1247,127.6694,22.43,80,100,7.2,JP,1680716079
523,port augusta,-32.5,137.7667,20.16,37,99,1.59,AU,1680716079
524,avera,33.194,-82.5271,30.51,49,49,4.35,US,1680716080
525,oskarshamn,57.2645,16.4484,0.55,99,100,0.13,SE,1680716080
526,yantal,56.8471,105.2542,-15.99,99,93,1.66,RU,1680716081
527,kemijarvi,66.7131,27.4306,-0.64,93,100,2.18,FI,1680716081
528,sydney,-33.8679,151.2073,17.44,89,40,2.57,AU,1680715640
529,suamico,44.6319,-88.0393,11.09,93,100,2.57,US,1680716081
530,nesna,66.1967,13.0213,10.06,82,100,6.07,NO,1680716082
531,qandala,11.472,49.8728,27.39,73,21,2.76,SO,1680716082
532,naryan-mar,67.6713,53.087,-19.2,96,42,2.71,RU,1680716142
533,gboko,7.3179,8.9951,36.3,25,81,2.11,NG,1680716143
534,genhe,50.7833,121.5167,-1.9,73,100,0.84,CN,1680716143
535,mandan,46.8267,-100.8896,-6.01,73,100,11.83,US,1680716055
536,shitanjing,39.2342,106.3439,-0.74,44,6,7.18,CN,1680716144
537,mercedes,-34.6515,-59.4307,24.8,60,100,3.47,AR,1680716144
538,teacapan,22.55,-105.75,25.99,47,3,3.8,MX,1680716144
539,haines junction,60.7522,-137.5108,-5.03,68,100,0.51,CA,1680716144
540,boddam,57.4667,-1.7833,11.35,97,100,4.79,GB,1680716145
541,kaeo,-35.1,173.7833,13.51,95,100,2.19,NZ,1680716145
542,boditi,6.9667,37.8667,16.88,81,80,1.63,ET,1680716145
543,hellvik,59.9156,5.781,7.78,71,55,1.58,NO,1680716146
544,cadillac,44.2519,-85.4012,15.95,82,40,4.12,US,1680716146
545,nelson bay,-32.7167,152.15,18.89,98,57,2.68,AU,1680715973
546,bonfim,3.0833,-59.95,36.44,28,58,4.57,BR,1680716146
547,gawler,-34.6,138.7333,22.21,38,95,3.1,AU,1680716147
548,asyut,27.181,31.1837,23.1,17,0,4.87,EG,1680716147
549,manaure,11.7751,-72.4445,25.46,81,40,11.84,CO,1680716147
550,valparaiso,-33.0393,-71.6273,21.13,59,0,3.6,CL,1680716148
551,pafos,34.7667,32.4167,16.88,67,40,6.69,CY,1680716148
552,khagaria,25.5,86.4833,26.59,16,0,3.74,IN,1680716149
553,raton,36.9034,-104.4391,1.34,38,0,3.09,US,1680716149
554,nunoa,-14.48,-70.6411,13.39,41,100,3.52,PE,1680716149
555,panguna,-6.3164,155.4848,20.1,93,100,1.37,PG,1680716149
556,nuuk,64.1835,-51.7216,-0.66,64,11,12.86,GL,1680716150
557,jiazi,22.8779,116.067,23.36,85,51,2.45,CN,1680716150
558,leningradskiy,69.3833,178.4167,-30.36,99,37,3.6,RU,1680716150
559,adre,13.4667,22.2,30.62,12,100,1.87,TD,1680716150
560,luwuk,-0.9516,122.7875,25.25,82,100,1.18,ID,1680716151
561,saint anthony,45.0205,-93.218,-0.53,73,100,10.8,US,1680716151
562,benoy,8.9833,16.3199,36.27,21,99,0.22,TD,1680716151
563,whitehorse,60.7161,-135.0538,-1.57,80,100,5.66,CA,1680716152
564,guerrero negro,27.9769,-114.0611,16.48,38,67,3.48,MX,1680716152
565,baruun-urt,46.6806,113.2792,-1.4,75,100,9.65,MN,1680716152
566,waipawa,-41.4122,175.5153,14.48,73,100,7.89,NZ,1680716152
567,chuy,-33.6971,-53.4616,22.77,51,4,6.5,UY,1680716152
568,turbo,8.0937,-76.7269,31.07,72,100,4.15,CO,1680716153
569,bilma,18.6853,12.9164,31.76,7,5,4.51,NE,1680716153
